epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,635.912,1.61276,0.89356,0.93861,0.94244,0.90707,0.93759,0.46766,1.75878,0.83273,0.91897,0.00079705,0.00079705,0.00079705
43,651.25,1.65159,0.91235,0.93855,0.96847,0.8979,0.9458,0.46374,1.73512,0.85299,0.91061,0.0007921,0.0007921,0.0007921
44,666.739,1.61521,0.92732,0.93373,0.95157,0.88487,0.95093,0.47503,1.71231,0.8372,0.91225,0.00078715,0.00078715,0.00078715
45,682.325,1.61323,0.91211,0.92794,0.9282,0.89733,0.93856,0.48126,1.69523,0.83921,0.91172,0.0007822,0.0007822,0.0007822
46,697.876,1.60933,0.869,0.94413,0.96066,0.88779,0.94548,0.46062,1.7968,0.83593,0.93043,0.00077725,0.00077725,0.00077725
47,713.277,1.61431,0.89068,0.9412,0.96746,0.89131,0.94226,0.46348,1.73385,0.86802,0.91208,0.0007723,0.0007723,0.0007723
48,728.811,1.55284,0.86766,0.93129,0.94973,0.90387,0.94184,0.46128,1.71622,0.83105,0.91142,0.00076735,0.00076735,0.00076735
49,744.161,1.59564,0.86969,0.93549,0.96059,0.90077,0.9515,0.47696,1.72564,0.82129,0.90435,0.0007624,0.0007624,0.0007624
50,759.564,1.62403,0.89321,0.93382,0.95949,0.89514,0.94659,0.48557,1.67758,0.82235,0.89622,0.00075745,0.00075745,0.00075745
51,775.303,1.56953,0.85581,0.93015,0.95419,0.89376,0.94037,0.48379,1.70922,0.82558,0.90408,0.0007525,0.0007525,0.0007525
52,790.564,1.57106,0.85153,0.9257,0.94277,0.91148,0.94839,0.49389,1.6371,0.80788,0.89526,0.00074755,0.00074755,0.00074755
53,806.211,1.58203,0.86712,0.93301,0.94332,0.90081,0.94727,0.48805,1.68677,0.81109,0.901,0.0007426,0.0007426,0.0007426
54,821.476,1.57411,0.84306,0.93513,0.94023,0.89636,0.93754,0.47729,1.71302,0.84659,0.90365,0.00073765,0.00073765,0.00073765
55,836.937,1.58556,0.85173,0.93802,0.94413,0.91887,0.95321,0.48207,1.69383,0.80464,0.90821,0.0007327,0.0007327,0.0007327
56,852.522,1.558,0.83231,0.92786,0.97018,0.86043,0.94332,0.47293,1.68647,0.82935,0.90551,0.00072775,0.00072775,0.00072775
57,867.808,1.53551,0.83079,0.92068,0.95298,0.91109,0.94532,0.49292,1.67374,0.80931,0.89975,0.0007228,0.0007228,0.0007228
58,883.197,1.56246,0.84617,0.93731,0.93697,0.90403,0.93708,0.45781,1.72794,0.84354,0.90881,0.00071785,0.00071785,0.00071785
59,898.616,1.58883,0.85497,0.92202,0.95666,0.8899,0.943,0.48135,1.65743,0.80615,0.89984,0.0007129,0.0007129,0.0007129
