epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,634.981,1.61883,0.8963,0.94427,0.94801,0.8903,0.94744,0.46191,1.72679,0.8496,0.91893,0.00079705,0.00079705,0.00079705
43,650.401,1.6569,0.9172,0.94288,0.92288,0.91689,0.9375,0.46752,1.71835,0.87545,0.91451,0.0007921,0.0007921,0.0007921
44,665.962,1.58485,0.88635,0.9295,0.96802,0.89973,0.94411,0.48209,1.6676,0.86183,0.90761,0.00078715,0.00078715,0.00078715
45,681.407,1.56011,0.86443,0.92365,0.95227,0.91203,0.95677,0.48526,1.67809,0.80506,0.91069,0.0007822,0.0007822,0.0007822
46,696.945,1.58861,0.87642,0.94388,0.93785,0.89712,0.95654,0.49036,1.64521,0.82345,0.89973,0.00077725,0.00077725,0.00077725
47,712.421,1.60397,0.88546,0.93955,0.93975,0.89721,0.9485,0.4467,1.80777,0.86066,0.91858,0.0007723,0.0007723,0.0007723
48,727.699,1.5597,0.85289,0.93415,0.94062,0.8986,0.94525,0.48322,1.70087,0.8282,0.90525,0.00076735,0.00076735,0.00076735
49,742.984,1.57203,0.85858,0.93368,0.96135,0.90038,0.94433,0.46532,1.71652,0.84155,0.91059,0.0007624,0.0007624,0.0007624
50,758.342,1.58441,0.85345,0.93184,0.93976,0.88676,0.95493,0.46879,1.71976,0.81748,0.90686,0.00075745,0.00075745,0.00075745
51,773.916,1.57046,0.85983,0.9285,0.96048,0.88054,0.94489,0.48967,1.66548,0.79529,0.89766,0.0007525,0.0007525,0.0007525
52,789.302,1.58343,0.85247,0.93229,0.95068,0.89732,0.94026,0.46867,1.69328,0.84815,0.9063,0.00074755,0.00074755,0.00074755
53,804.862,1.58387,0.88135,0.93459,0.98725,0.90206,0.95237,0.48883,1.65142,0.81383,0.9007,0.0007426,0.0007426,0.0007426
54,820.001,1.53753,0.83233,0.92383,0.9549,0.86913,0.941,0.49512,1.65663,0.82845,0.90448,0.00073765,0.00073765,0.00073765
55,835.572,1.59045,0.85889,0.9411,0.91528,0.93412,0.9566,0.47101,1.70862,0.83798,0.91574,0.0007327,0.0007327,0.0007327
56,851.031,1.56112,0.83109,0.93041,0.93694,0.90407,0.95057,0.48157,1.68725,0.81301,0.90215,0.00072775,0.00072775,0.00072775
57,866.488,1.53829,0.83043,0.92408,0.92788,0.88542,0.94572,0.49332,1.65535,0.81924,0.90082,0.0007228,0.0007228,0.0007228
58,882.057,1.54999,0.84299,0.92839,0.95982,0.88499,0.93349,0.46353,1.72337,0.81982,0.91535,0.00071785,0.00071785,0.00071785
59,897.494,1.56694,0.8185,0.91813,0.97248,0.89691,0.94859,0.47516,1.71335,0.78256,0.91242,0.0007129,0.0007129,0.0007129
60,912.876,1.53974,0.82229,0.92038,0.96819,0.87927,0.94835,0.477,1.7128,0.8105,0.90856,0.00070795,0.00070795,0.00070795
61,928.137,1.50972,0.81492,0.91903,0.93131,0.8949,0.94065,0.49153,1.63489,0.81529,0.89627,0.000703,0.000703,0.000703
62,943.286,1.52505,0.80037,0.92582,0.95349,0.91983,0.9483,0.47505,1.70268,0.81839,0.90572,0.00069805,0.00069805,0.00069805
63,958.732,1.49437,0.78883,0.91739,0.95156,0.8913,0.95119,0.48432,1.6681,0.78663,0.89677,0.0006931,0.0006931,0.0006931
64,974.153,1.54504,0.80867,0.91547,0.96285,0.91921,0.94913,0.49007,1.67373,0.76635,0.89842,0.00068815,0.00068815,0.00068815
65,989.508,1.53165,0.81124,0.91163,0.91558,0.90801,0.95103,0.46701,1.70093,0.84018,0.90503,0.0006832,0.0006832,0.0006832
66,1004.94,1.5101,0.79384,0.90904,0.97131,0.9062,0.95704,0.50417,1.62783,0.75383,0.89434,0.00067825,0.00067825,0.00067825
67,1020.55,1.50298,0.79733,0.91613,0.95675,0.92564,0.96055,0.49819,1.6383,0.75745,0.89462,0.0006733,0.0006733,0.0006733
68,1036.04,1.5288,0.81567,0.9113,0.96765,0.90759,0.95556,0.49149,1.65241,0.79472,0.90051,0.00066835,0.00066835,0.00066835
69,1051.44,1.51896,0.80906,0.91657,0.94085,0.89917,0.95002,0.46611,1.7707,0.80802,0.90562,0.0006634,0.0006634,0.0006634
70,1066.76,1.53639,0.78825,0.90734,0.9608,0.90448,0.95637,0.49999,1.64796,0.76325,0.89375,0.00065845,0.00065845,0.00065845
71,1082.33,1.52207,0.78167,0.92056,0.93666,0.91667,0.94719,0.49969,1.63047,0.75444,0.89108,0.0006535,0.0006535,0.0006535
72,1097.76,1.50602,0.79343,0.91722,0.94036,0.9231,0.957,0.49504,1.66381,0.76542,0.89703,0.00064855,0.00064855,0.00064855
73,1113.03,1.50317,0.79746,0.90121,0.95349,0.93275,0.96711,0.49261,1.65766,0.78404,0.8939,0.0006436,0.0006436,0.0006436
74,1128.57,1.50348,0.77642,0.91146,0.94916,0.91344,0.95853,0.50651,1.62789,0.75826,0.89087,0.00063865,0.00063865,0.00063865
75,1143.99,1.46052,0.74509,0.89714,0.94897,0.925,0.95667,0.49379,1.65277,0.76463,0.89423,0.0006337,0.0006337,0.0006337
76,1159.54,1.51089,0.80953,0.91093,0.9731,0.92037,0.96082,0.4943,1.65383,0.76603,0.89121,0.00062875,0.00062875,0.00062875
77,1174.77,1.47897,0.77782,0.91048,0.9586,0.91651,0.95712,0.4863,1.66758,0.76081,0.89868,0.0006238,0.0006238,0.0006238
78,1190.22,1.4859,0.77734,0.91395,0.96666,0.91511,0.9641,0.5157,1.62946,0.75743,0.89165,0.00061885,0.00061885,0.00061885
79,1205.66,1.45452,0.76228,0.90379,0.94757,0.92505,0.95825,0.49808,1.64944,0.74249,0.89588,0.0006139,0.0006139,0.0006139
80,1221.25,1.47052,0.76078,0.90304,0.94221,0.93824,0.96301,0.50989,1.60516,0.74065,0.88498,0.00060895,0.00060895,0.00060895
81,1236.57,1.4713,0.77397,0.91191,0.97474,0.93408,0.9707,0.51148,1.62326,0.72944,0.89182,0.000604,0.000604,0.000604
82,1252.04,1.43751,0.73778,0.90237,0.96795,0.92899,0.96433,0.47975,1.71124,0.7533,0.90445,0.00059905,0.00059905,0.00059905
83,1267.55,1.45154,0.74468,0.90701,0.96122,0.92296,0.95774,0.47939,1.70061,0.77543,0.90087,0.0005941,0.0005941,0.0005941
84,1283.05,1.44082,0.74661,0.89842,0.98152,0.9303,0.96883,0.50377,1.65035,0.73015,0.89395,0.00058915,0.00058915,0.00058915
85,1298.34,1.47352,0.76655,0.90835,0.96901,0.93398,0.96931,0.51249,1.6232,0.7355,0.8844,0.0005842,0.0005842,0.0005842
86,1313.8,1.4567,0.75267,0.9058,0.97585,0.92307,0.96729,0.51407,1.61764,0.7449,0.88844,0.00057925,0.00057925,0.00057925
87,1329.41,1.44413,0.74301,0.90324,0.96383,0.94226,0.96764,0.51023,1.61581,0.73077,0.88787,0.0005743,0.0005743,0.0005743
88,1344.72,1.44248,0.72809,0.89414,0.95768,0.92288,0.95767,0.51712,1.60423,0.76893,0.88779,0.00056935,0.00056935,0.00056935
89,1360.25,1.4249,0.73593,0.89246,0.97976,0.92439,0.96672,0.52258,1.59358,0.74391,0.88354,0.0005644,0.0005644,0.0005644
